iter	Passed	Remaining
0	156	155967
1	158	78929
2	159	53108
3	160	40068
4	161	32227
5	163	27007
6	164	23321
7	165	20562
8	167	18462
9	169	16733
10	171	15379
11	172	14208
12	174	13272
13	176	12408
14	178	11693
15	179	11035
16	181	10473
17	183	9992
18	185	9567
19	186	9145
20	188	8779
21	189	8435
22	191	8135
23	192	7846
24	194	7574
25	195	7324
26	196	7098
27	198	6895
28	200	6704
29	201	6527
30	203	6347
31	204	6182
32	206	6039
33	208	5917
34	209	5783
35	211	5657
36	212	5537
37	214	5421
38	216	5326
39	217	5218
40	218	5111
41	220	5020
42	221	4928
43	223	4851
44	225	4790
45	227	4727
46	229	4644
47	230	4578
48	232	4507
49	234	4446
50	235	4380
51	237	4323
52	238	4263
53	240	4219
54	242	4163
55	243	4104
56	244	4045
57	245	3990
58	247	3945
59	249	3902
60	252	3886
61	254	3850
62	256	3808
63	257	3769
64	259	3727
65	260	3692
66	262	3652
67	264	3625
68	266	3590
69	267	3555
70	269	3522
71	270	3492
72	272	3456
73	273	3420
74	274	3386
75	277	3368
76	279	3346
77	280	3319
78	282	3294
79	284	3276
80	286	3250
81	287	3222
82	288	3187
83	290	3164
84	292	3144
85	293	3122
86	295	3102
87	297	3079
88	299	3061
89	300	3037
90	301	3014
91	303	2992
92	304	2972
93	306	2955
94	307	2934
95	309	2915
96	311	2895
97	312	2879
98	313	2857
99	315	2835
100	316	2815
101	317	2795
102	319	2782
103	320	2764
104	322	2752
105	325	2741
106	326	2725
107	328	2710
108	329	2695
109	331	2678
110	332	2660
111	334	2648
112	336	2637
113	337	2622
114	338	2608
115	340	2594
116	341	2578
117	342	2563
118	344	2547
119	345	2532
120	346	2518
121	348	2506
122	349	2494
123	351	2482
124	353	2472
125	355	2463
126	356	2452
127	358	2439
128	359	2427
129	360	2413
130	362	2402
131	363	2393
132	365	2381
133	366	2370
134	368	2360
135	370	2352
136	371	2340
137	372	2329
138	374	2317
139	375	2305
140	377	2297
141	378	2284
142	379	2276
143	381	2268
144	383	2263
145	385	2255
146	387	2245
147	388	2235
148	389	2226
149	392	2222
150	393	2214
151	395	2206
152	397	2199
153	399	2192
154	400	2182
155	401	2172
156	402	2162
157	403	2152
158	405	2145
159	407	2138
160	408	2129
161	410	2123
