iter	Passed	Remaining
0	0	85
1	1	84
2	2	79
3	3	75
4	3	74
5	4	73
6	5	72
7	6	71
8	6	70
9	7	69
10	8	69
11	9	68
12	10	67
13	10	66
14	11	66
15	12	65
16	13	64
17	14	63
18	14	63
19	15	62
20	16	61
21	17	60
22	17	59
23	18	59
24	19	59
25	21	59
26	22	59
27	23	60
28	24	59
29	25	59
30	26	58
31	26	57
32	27	56
33	28	55
34	29	54
35	30	53
36	31	52
37	32	52
38	32	51
39	33	50
40	34	49
41	35	48
42	37	49
43	37	48
44	38	47
45	39	46
46	40	45
47	41	44
48	42	44
49	44	44
50	45	43
51	46	42
52	47	41
53	48	41
54	49	40
55	50	39
56	51	38
57	52	37
58	53	36
59	54	36
60	55	35
61	56	34
62	57	33
63	57	32
64	58	31
65	59	30
66	61	30
67	62	29
68	63	28
69	63	27
70	64	26
71	65	25
72	66	24
73	67	23
74	68	22
75	69	21
76	70	20
77	70	20
78	71	19
79	72	18
80	73	17
81	75	16
82	76	15
83	77	14
84	78	13
85	79	12
86	80	11
87	81	11
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	86	5
94	88	4
95	89	3
96	90	2
97	92	1
98	93	0
99	94	0
